CIP_CODE|CIP_COURSE|CIP_SHORT|SHORT_COURSE|PERKINS|CIP1999|PERKINS_PROGRAM|PERKINS_SECTION|NON_TRAD|UCAT_APPROVED|CIPTitle_2010
511604|Nurse Anesthetist|51|HEALTH PROFESSIONS AND RELATED CLINICAL SCIENCES|NULL|511604|NULL|NULL|NULL|NULL|Nurse Anesthetist.
511605|Family Practice Nurse/Nurse Practitioner|51|HEALTH PROFESSIONS AND RELATED CLINICAL SCIENCES|NULL|511605|NULL|NULL|NULL|NULL|Family Practice Nurse/Nurse Practitioner.
511606|Maternal/Child Health and Neonatal Nurse/Nursing|51|HEALTH PROFESSIONS AND RELATED CLINICAL SCIENCES|NULL|511606|NULL|NULL|NULL|NULL|Maternal/Child Health and Neonatal Nurse/Nursing.
511607|Nurse Midwife/Nursing Midwifery|51|HEALTH PROFESSIONS AND RELATED CLINICAL SCIENCES|NULL|511607|NULL|NULL|NULL|NULL|Nurse Midwife/Nursing Midwifery.
511608|Nursing Science (MS, PhD)|51|HEALTH PROFESSIONS AND RELATED CLINICAL SCIENCES|NULL|511608|NULL|NULL|NULL|NULL|Nursing Science (MS, PhD).
511609|Pediatric Nurse/Nursing|51|HEALTH PROFESSIONS AND RELATED CLINICAL SCIENCES|NULL|511609|NULL|NULL|NULL|NULL|Pediatric Nurse/Nursing.
511610|Psychiatric/Mental Health Nurse/Nursing|51|HEALTH PROFESSIONS AND RELATED CLINICAL SCIENCES|NULL|511610|NULL|NULL|NULL|NULL|Psychiatric/Mental Health Nurse/Nursing.
511611|Public Health/Community Nurse/Nursing|51|HEALTH PROFESSIONS AND RELATED CLINICAL SCIENCES|NULL|511611|NULL|NULL|NULL|NULL|Public Health/Community Nurse/Nursing.
511612|Perioperative/Operating Rm/Surgical Nurse/Nursing|51|HEALTH PROFESSIONS AND RELATED CLINICAL SCIENCES|NULL|511612|NULL|NULL|NULL|NULL|Perioperative/Operating Room and Surgical Nurse/Nursing.
511613|Lcnsd Prac/Voc Nurse Train (LPN,LVN,Cert,Dipl,AAS)|51|HEALTH PROFESSIONS AND RELATED CLINICAL SCIENCES|Y|511613|HEALTH PROFESSIONS AND RELATED CLINICAL SCIENCES|HEALTH SERVICES|M|Y|Licensed Practical/Vocational Nurse Training (LPN, LVN, Cert., Dipl, AAS)
511614|Nurse/Nursing Asst/Aide/Patient Care Assistant|51|HEALTH PROFESSIONS AND RELATED CLINICAL SCIENCES|Y|511614|HEALTH PROFESSIONS AND RELATED CLINICAL SCIENCES|HEALTH SERVICES|M|Y|Nurse/Nursing Assistant/Aide and Patient Care Assistant.
511616|Clinical Nurse Specialist|51|HEALTH PROFESSIONS AND RELATED CLINICAL SCIENCES|NULL|NEW|NULL|NULL|NULL|NULL|Clinical Nurse Specialist.
511617|Critical Care Nursing|51|HEALTH PROFESSIONS AND RELATED CLINICAL SCIENCES|NULL|NEW|NULL|NULL|NULL|NULL|Critical Care Nursing.
511618|Occupational and Environmental Health Nursing|51|HEALTH PROFESSIONS AND RELATED CLINICAL SCIENCES|NULL|NEW|NULL|NULL|NULL|NULL|Occupational and Environmental Health Nursing.
511699|Nursing, Oth|51|HEALTH PROFESSIONS AND RELATED CLINICAL SCIENCES|NULL|511699|NULL|NULL|NULL|NULL|Nursing, Other.
511700|Optometry|51|HEALTH PROFESSIONS AND RELATED CLINICAL SCIENCES|NULL|511700|NULL|NULL|NULL|NULL|NULL
511701|Optometry (OD)|51|HEALTH PROFESSIONS AND RELATED CLINICAL SCIENCES|NULL|511701|NULL|NULL|NULL|NULL|Optometry.
511800|Ophthalmic and Optometric Support Serv/Allied Prof|51|HEALTH PROFESSIONS AND RELATED CLINICAL SCIENCES|NULL|511800|NULL|NULL|NULL|NULL|NULL
511801|Opticinry/Ophthalmic Dispensing Optician|51|HEALTH PROFESSIONS AND RELATED CLINICAL SCIENCES|NULL|511801|NULL|NULL|NULL|NULL|Opticianry/Ophthalmic Dispensing Optician.
511802|Optomeric Technician/Assistant|51|HEALTH PROFESSIONS AND RELATED CLINICAL SCIENCES|NULL|511802|NULL|NULL|NULL|NULL|Optometric Technician/Assistant.
511803|Opthalmic Technician/Technologist|51|HEALTH PROFESSIONS AND RELATED CLINICAL SCIENCES|NULL|510804|NULL|NULL|NULL|NULL|Ophthalmic Technician/Technologist.
511804|Orthoptics/Orthoptist|51|HEALTH PROFESSIONS AND RELATED CLINICAL SCIENCES|NULL|511804|NULL|NULL|NULL|NULL|Orthoptics/Orthoptist.
511899|Ophthalmic/Optometric Services, Oth|51|HEALTH PROFESSIONS AND RELATED CLINICAL SCIENCES|NULL|511899|NULL|NULL|NULL|NULL|Ophthalmic and Optometric Support Services and Allied Professions, Other.
511900|Osteopathic Medicine/Osteopathy|51|HEALTH PROFESSIONS AND RELATED CLINICAL SCIENCES|NULL|511900|NULL|NULL|NULL|NULL|NULL
511901|Osteopathic medicine/Osteopathy (DO)|51|HEALTH PROFESSIONS AND RELATED CLINICAL SCIENCES|NULL|511901|NULL|NULL|NULL|NULL|Osteopathic Medicine/Osteopathy.
511912|PHYSICIAN ASSISTANT|51|HEALTH PROFESSIONS AND RELATED CLINICAL SCIENCES|NULL|510807|NULL|NULL|NULL|NULL|NULL
512000|Pharmacy, Pharmaceutical Science and Admin|51|HEALTH PROFESSIONS AND RELATED CLINICAL SCIENCES|NULL|512000|NULL|NULL|NULL|NULL|NULL
512001|Pharmacy (PharmD(USA) PharmD, BS/BPharm (Canada))|51|HEALTH PROFESSIONS AND RELATED CLINICAL SCIENCES|NULL|512001|NULL|NULL|NULL|NULL|Pharmacy.
512002|Pharmacy Admin/Policy/Regulatory Affairs (MS, PhD)|51|HEALTH PROFESSIONS AND RELATED CLINICAL SCIENCES|NULL|512002|NULL|NULL|NULL|NULL|Pharmacy Administration and Pharmacy Policy and Regulatory Affairs.
512003|Pharmaceutics and Drug Design (MS, PhD)|51|HEALTH PROFESSIONS AND RELATED CLINICAL SCIENCES|NULL|512003|NULL|NULL|NULL|NULL|Pharmaceutics and Drug Design.
512004|Medicinal and Pharmaceutical Chemistry|51|HEALTH PROFESSIONS AND RELATED CLINICAL SCIENCES|NULL|400505|NULL|NULL|NULL|NULL|Medicinal and Pharmaceutical Chemistry.
512005|Natural Products Chemistry and Pharmacognosy|51|HEALTH PROFESSIONS AND RELATED CLINICAL SCIENCES|NULL|NEW|NULL|NULL|NULL|NULL|Natural Products Chemistry and Pharmacognosy.
512006|Clinical and Industrial Drug Dev (MS, PhD)|51|HEALTH PROFESSIONS AND RELATED CLINICAL SCIENCES|NULL|NEW|NULL|NULL|NULL|NULL|Clinical and Industrial Drug Development.
